sweep,kind,channel,characteristic,column,unit,at_design,min,max,range,at_start,at_end
10_corner_ramp,roll_ramp_at_steer,caster_lr,Caster (left),caster_left,deg,10.000008382395428,9.996308549063896,10.000008382395428,0.003699833331532787,10.000008382395428,9.996312564570667
10_corner_ramp,roll_ramp_at_steer,caster_lr,Caster (right),caster_right,deg,10.000008379753965,10.000008379753965,10.012574633371583,0.012566253617618983,10.000008379753965,10.012574633371583
10_corner_ramp,roll_ramp_at_steer,toe_lr,Toe (left),toe_angle_left,deg,-5.041088313992951e-07,-5.041088313992951e-07,24.620373588850978,24.62037409295981,-5.041088313992951e-07,24.620373588850978
10_corner_ramp,roll_ramp_at_steer,toe_lr,Toe (right),toe_angle_right,deg,-1.9396280533647434e-07,-25.546070145706096,-1.9396280533647434e-07,25.54606995174329,-1.9396280533647434e-07,-25.546070145706096
10_corner_ramp,roll_ramp_at_steer,scrub_signed,Scrub radius (signed lateral),scrub_radius_signed_left,mm,-1.5819471749652174,-1.5819471749652174,-0.9522195746715972,0.6297276002936202,-1.5819471749652174,-0.9522195746715972
10_corner_ramp,roll_ramp_at_steer,half_track,Half track,half_track_left,mm,453.54200161986574,453.54200161986574,460.72739075898295,7.185389139117206,453.54200161986574,458.3106300094678
10_corner_ramp,roll_ramp_at_steer,track_change,Track change,track_change,mm,3.4313825381104834e-06,-20.76379217840849,3.4313825381104834e-06,20.76379560979103,3.4313825381104834e-06,-20.76379217840849
10_corner_ramp,roll_ramp_at_steer,motion_ratio,Motion ratio (damper/wheel),motion_ratio_left,mm/mm,0.5094208273530741,0.5050508063821807,0.5094208273530741,0.004370020970893451,0.5094208273530741,0.5050508063821807
10_corner_ramp,roll_ramp_at_steer,camber_recovery,Camber recovery,camber_recovery_left,deg/deg,1.2507250122663962,0.9730425499313271,1.2507250122663962,0.2776824623350691,1.2507250122663962,0.9730425499313271
10_corner_ramp,roll_ramp_at_steer,rc_height,Roll-centre height,roll_center_z,mm,12.492482080743354,-164.71071759449308,12.492482080743354,177.20319967523642,12.492482080743354,-164.71071759449308
10_corner_ramp,roll_ramp_at_steer,rc_lateral,Roll-centre lateral position,roll_center_y,mm,-4.439768304109748e-07,-4.439768304109748e-07,1322.758660950779,1322.7586613947558,-4.439768304109748e-07,1322.758660950779
10_corner_ramp,roll_ramp_at_steer,rc_lateral_roll,Roll-centre lateral migration vs roll,rc_lateral_rate_roll,mm/deg,-393.21434551296045,-477.6487020125887,-393.21434551296045,84.43435649962828,-393.21434551296045,-477.6487020125887
10_corner_ramp,roll_ramp_at_steer,body_roll,Body roll,roll,deg,4.126924347225407e-11,-3.202642892502347,4.126924347225407e-11,3.2026428925436163,4.126924347225407e-11,-3.202642892502347
10_corner_ramp,roll_ramp_at_steer,rack,Rack displacement,rack_displacement,mm,4.822416599381541e-08,4.822416599381541e-08,35.00000023274899,35.00000018452482,4.822416599381541e-08,35.00000023274899
10_corner_ramp,roll_ramp_at_steer,ackermann,Ackermann,ackermann_percent,%,,6.100289650953989,19.506972826052113,13.406683175098124,,19.506972826052113
10_corner_ramp,roll_ramp_at_steer,steering_ratio,Steering ratio (rack),steer_per_rack_abs,deg/mm,0.6832501765717383,0.6804864810120661,0.7140589501974093,0.03357246918534318,0.6832501765717383,0.7140589501974093
