sweep,kind,group,characteristic,column,unit,at_design,min,max,range,at_start,at_end
02_roll,roll,axle,Roll-centre height,roll_center_z,mm,12.492482448747047,-98.14986088080131,12.492482448747047,110.64234332954837,-98.14983509337274,-98.14986088080131
02_roll,roll,axle,Roll-centre lateral position,roll_center_y,mm,6.891777729833848e-06,-940.3397723844748,940.3395602484206,1880.6793326328955,940.3395602484206,-940.3397723844748
02_roll,roll,axle,Roll-centre migration vs roll,rc_migration_rate_roll,mm/deg,4.64111516862431e-06,-66.23017762114065,66.22977145857871,132.45994907971937,66.22977145857871,-66.23017762114065
02_roll,roll,axle,Roll-centre lateral migration vs roll,rc_lateral_rate_roll,mm/deg,-308.4378188624115,-308.4378188624115,-274.9713263616079,33.46649250080361,-274.9713263616079,-274.9743727321306
02_roll,roll,axle,Body roll,roll,deg,-8.860751444572646e-10,-3.1687764303560297,3.1687764177195907,6.337552848075621,-3.1687764303560297,3.1687764177195907
02_roll,roll,axle,Heave,heave,mm,2.0193624550302047e-10,-9.922248978000425e-08,4.589762170326139e-08,1.4512011148326565e-07,-9.922248978000425e-08,-4.635538175534748e-09
02_roll,roll,axle,Ride-height change,ride_height_change,mm,-2.0193624550302047e-10,-2.0193624550302047e-10,0.0365992729392526,0.03659927314118885,0.0365992729392526,0.0365991930397628
02_roll,roll,axle,Rack displacement,rack_displacement,mm,1.7684300246401108e-08,-3.73771712247617e-07,2.322877890037489e-07,6.060595012513659e-07,1.9196022549294867e-09,7.297197157640768e-08
02_roll,roll,axle,Steering ratio,steer_per_rack_left,deg/mm,-0.6832501754915893,-0.7059677673293726,-0.661038293331614,0.044929473997758596,-0.7059677673293726,-0.661038293331614
02_roll,roll,gradient,Camber gain,deriv_camber_wrt_hub_z_left,deg/mm,-0.008909551463296,-0.0172910592895472,-0.0006068915374279,0.0166841677521193,-0.0006068915374279,-0.0172910592895472
02_roll,roll,gradient,Bump steer rate,deriv_toe_angle_wrt_hub_z_left,deg/mm,-0.0003722212466359,-0.0004382796587011,-0.0001354516401989,0.0003028280185022,-0.0004249257829722,-0.0001354516401989
02_roll,roll,gradient,ISO steer gain in bump,deriv_steer_angle_wrt_hub_z_left,deg/mm,0.0003722212466359,0.0001354516401989,0.0004382796587011,0.0003028280185022,0.0004249257829722,0.0001354516401989
02_roll,roll,gradient,Caster gain,deriv_caster_wrt_hub_z_left,deg/mm,0.0002706353668174,2.0294053131643768e-05,0.0005400374425412,0.0005197433894095563,2.0294053131643768e-05,0.0005400374425412
02_roll,roll,gradient,KPI gain,deriv_kpi_wrt_hub_z_left,deg/mm,0.0089751841689027,0.0006818031053607,0.0173149435501802,0.0166331404448195,0.0006818031053607,0.0173149435501802
02_roll,roll,gradient,Half-track change rate,deriv_half_track_wrt_hub_z_left,mm/mm,0.0287694351997461,-0.0880582999206849,0.1478043430381652,0.2358626429588501,0.1478043430381652,-0.0880582999206849
02_roll,roll,gradient,Wheel-centre recession rate,deriv_wheel_center_x_wrt_hub_z_left,mm/mm,-0.0003095483975869,-0.0003644829304717,-0.0001126336869383,0.0002518492435334,-0.0003533777988958,-0.0001126336869383
02_roll,roll,gradient,Damper rate vs wheel,deriv_damper_length_wrt_hub_z_left,mm/mm,-0.5094208275875689,-0.5160349559642183,-0.5040591727537695,0.011975783210448787,-0.5040591727537695,-0.5160349559642183
02_roll,roll,gradient,Toe per rack,deriv_toe_angle_wrt_rack_displacement_left,deg/mm,0.6832501754915893,0.661038293331614,0.7059677673293726,0.044929473997758596,0.7059677673293726,0.661038293331614
02_roll,roll,gradient,Steer per rack,deriv_steer_angle_wrt_rack_displacement_left,deg/mm,-0.6832501754915893,-0.7059677673293726,-0.661038293331614,0.044929473997758596,-0.7059677673293726,-0.661038293331614
02_roll,roll,gradient,Camber per rack,deriv_camber_wrt_rack_displacement_left,deg/mm,-0.1195763588394602,-0.1243868996392491,-0.1148924833829164,0.009494416256332697,-0.1243868996392491,-0.1148924833829164
03_single_wheel_bump,single_wheel,corner,Camber,camber_left,deg,-1.2665117731503168e-09,-0.8833204189481995,0.121007401004374,1.0043278199525734,-0.0482611197822698,-0.8833204189481995
03_single_wheel_bump,single_wheel,corner,Caster,caster_left,deg,10.000008419594236,9.996327609706745,10.027917656594596,0.031590046887851386,10.00137838663282,10.027917656594596
03_single_wheel_bump,single_wheel,corner,Kingpin inclination,kpi_left,deg,10.000008357066967,9.877148027077263,10.884355170684504,1.007207143607241,10.045335703806222,10.884355170684504
03_single_wheel_bump,single_wheel,corner,Toe (positive = toe-in),toe_angle_left,deg,-2.767023509706867e-07,-0.0073508082626467,0.0173255106193048,0.0246763188819515,0.0166430345473228,-0.0058203406977261
03_single_wheel_bump,single_wheel,corner,ISO steer angle,steer_angle_left,deg,2.767023509706867e-07,-0.0173255106193048,0.0073508082626467,0.0246763188819515,-0.0166430345473228,0.0058203406977261
03_single_wheel_bump,single_wheel,corner,Scrub radius (ISO unsigned),scrub_radius_left,mm,49.25635573201509,49.248964196108176,49.25654180362465,0.007577607516473961,49.25456754779996,49.248964196108176
03_single_wheel_bump,single_wheel,corner,Scrub radius (signed lateral),scrub_radius_signed_left,mm,-1.5819470920776535,-1.6019253136222902,-1.5722491977861492,0.029676115836140937,-1.6019253136222902,-1.5722491977861492
03_single_wheel_bump,single_wheel,corner,Steering-axis offset at ground,steering_axis_offset_ground_left,mm,-1.5819470920776535,-1.6019253136222902,-1.5722491977861492,0.029676115836140937,-1.6019253136222902,-1.5722491977861492
03_single_wheel_bump,single_wheel,corner,Mechanical trail,mechanical_trail_left,mm,49.230945790190574,49.22386115340411,49.23120335809884,0.007342204694730015,49.2285106377429,49.22386115340411
03_single_wheel_bump,single_wheel,corner,Half track,half_track_left,mm,453.5420017555267,444.6959873889196,453.6271666162694,8.931179227349787,444.6959873889196,449.139352371037
03_single_wheel_bump,single_wheel,corner,Wheel travel,wheel_travel_left,mm,-1.8028799786407035e-08,-54.99999987141232,50.00000004763388,104.9999999190462,-54.99999987141232,50.00000004763388
03_single_wheel_bump,single_wheel,corner,Damper length,damper_length_left,mm,242.81129779391665,217.0122072085013,270.5442889804283,53.53208177192698,270.5442889804283,217.0122072085013
03_single_wheel_bump,single_wheel,corner,Motion ratio (damper/wheel),motion_ratio_left,mm/mm,0.5094208274905506,0.5014639686183049,0.5222974790894378,0.02083351047113291,0.501464493710577,0.5222974790894378
03_single_wheel_bump,single_wheel,corner,Motion ratio squared,motion_ratio_sq_left,-,0.2595095794811573,0.2514661118224203,0.2727946566631817,0.02132854484076141,0.2514666384524053,0.2727946566631817
03_single_wheel_bump,single_wheel,corner,"Front-view IC, y",fvic_y_left,mm,-5930.606318071543,-83588.96217441486,49231.53133193289,132820.49350634776,4796.299115870225,-1606.5498071652808
03_single_wheel_bump,single_wheel,corner,"Front-view IC, z",fvic_z_left,mm,185.0000427034279,-8441.55782247471,12425.813455734871,20867.371278209583,-1344.3848252928285,-371.13901912070025
03_single_wheel_bump,single_wheel,corner,Front-view swing-arm length,fvsa_length_left,mm,6386.848540197078,-49500.78199441328,84957.712495652,134458.49449006526,-4538.409261235758,2098.250411742928
03_single_wheel_bump,single_wheel,corner,"Camber, road-relative",camber_road_left,deg,-5.971134204904732e-11,-4.068882880247896,3.4565568048662505,7.525439685114147,3.4565568048662505,-4.068882880247896
03_single_wheel_bump,single_wheel,axle,Track,track,mm,907.084,907.084,907.084,0.0,907.084,907.084
03_single_wheel_bump,single_wheel,axle,Track change,track_change,mm,3.4918303981612557e-06,-7.163739651248761,0.1083222134416246,7.272061864690386,-7.163739651248761,-3.017106523496409
03_single_wheel_bump,single_wheel,axle,Track change rate,track_change_rate,mm/mm,0.057538874041208,-0.409555350794016,0.5926753932922464,1.0022307440862623,0.5926753932922464,-0.409555350794016
03_single_wheel_bump,single_wheel,axle,Roll-centre height,roll_center_z,mm,12.492482819065026,-16.65224846847934,52.98837677777626,69.6406252462556,18.171784582941967,21.615128690838777
03_single_wheel_bump,single_wheel,axle,Roll-centre lateral position,roll_center_y,mm,1.0571868131137308e-05,-1001.9615399919726,1392.2011289876675,2394.1626689796403,195.2476924451537,313.6257640721336
03_single_wheel_bump,single_wheel,axle,Roll-centre migration vs travel,rc_migration_rate,mm/mm,-0.6762603873002305,-2.9144730540081465,4.755140352268427,7.669613406276573,-0.016446267915677774,-0.07743479543982043
03_single_wheel_bump,single_wheel,axle,Body roll,roll,deg,-1.2068004311012695e-09,-3.5048179246485205,3.1855624612996967,6.690380385948217,-3.5048179246485205,3.1855624612996967
03_single_wheel_bump,single_wheel,axle,Heave,heave,mm,-8.476007451463374e-09,-27.49999993896388,25.000000012559525,52.49999995152341,-27.49999993896388,25.000000012559525
03_single_wheel_bump,single_wheel,axle,Ride-height change,ride_height_change,mm,8.476007451463374e-09,-25.101149512838976,27.71755302386895,52.818702536707924,27.71755302386895,-25.101149512838976
03_single_wheel_bump,single_wheel,axle,Rack displacement,rack_displacement,mm,2.3714648023087648e-08,-2.103579106460529e-07,2.1347361212065155e-07,4.2383152276670444e-07,-1.5804383224349294e-07,-9.348039498036088e-08
03_single_wheel_bump,single_wheel,axle,Steering ratio,steer_per_rack_left,deg/mm,-0.6832501753427128,-0.7414712802214035,-0.6352360897214752,0.10623519049992836,-0.7414712802214035,-0.6352360897214752
03_single_wheel_bump,single_wheel,gradient,Camber gain,deriv_camber_wrt_hub_z_left,deg/mm,-0.0089095516046519,-0.027967619987206,0.0131192208911069,0.0410868408783129,0.0131192208911069,-0.027967619987206
03_single_wheel_bump,single_wheel,gradient,Bump steer rate,deriv_toe_angle_wrt_hub_z_left,deg/mm,-0.0003722203635404,-0.0004373393248222,0.0002618243291273,0.0006991636539495,0.0002618243291273,0.0002166931103961
03_single_wheel_bump,single_wheel,gradient,ISO steer gain in bump,deriv_steer_angle_wrt_hub_z_left,deg/mm,0.0003722203635404,-0.0002618243291273,0.0004373393248222,0.0006991636539495,-0.0002618243291273,-0.0002166931103961
03_single_wheel_bump,single_wheel,gradient,Caster gain,deriv_caster_wrt_hub_z_left,deg/mm,0.0002706353665164,-0.0003988744230542,0.0009208590298757,0.0013197334529299,-0.0003988744230542,0.0009208590298757
03_single_wheel_bump,single_wheel,gradient,KPI gain,deriv_kpi_wrt_hub_z_left,deg/mm,0.008975184154228,-0.0131653743502572,0.0279294039280385,0.0410947782782957,-0.0131653743502572,0.0279294039280385
03_single_wheel_bump,single_wheel,gradient,Half-track change rate,deriv_half_track_wrt_hub_z_left,mm/mm,0.028769437020604,-0.204777675397008,0.2963376966461232,0.5011153720431312,0.2963376966461232,-0.204777675397008
03_single_wheel_bump,single_wheel,gradient,Wheel-centre recession rate,deriv_wheel_center_x_wrt_hub_z_left,mm/mm,-0.0003095476625776,-0.0003637009245184,0.0002177421778293,0.0005814431023477,0.0002177421778293,0.0001802223608224
03_single_wheel_bump,single_wheel,gradient,Damper rate vs wheel,deriv_damper_length_wrt_hub_z_left,mm/mm,-0.5094208274905506,-0.5222974790894378,-0.5014639686183049,0.02083351047113291,-0.501464493710577,-0.5222974790894378
03_single_wheel_bump,single_wheel,gradient,Toe per rack,deriv_toe_angle_wrt_rack_displacement_left,deg/mm,0.6832501753427128,0.6352360897214752,0.7414712802214035,0.10623519049992836,0.7414712802214035,0.6352360897214752
03_single_wheel_bump,single_wheel,gradient,Steer per rack,deriv_steer_angle_wrt_rack_displacement_left,deg/mm,-0.6832501753427128,-0.7414712802214035,-0.6352360897214752,0.10623519049992836,-0.7414712802214035,-0.6352360897214752
03_single_wheel_bump,single_wheel,gradient,Camber per rack,deriv_camber_wrt_rack_displacement_left,deg/mm,-0.1195763582515468,-0.1321333842068166,-0.1094064052053892,0.022726979001427408,-0.1321333842068166,-0.1094064052053892
04_steer_design,steer,corner,Camber,camber_left,deg,3.001529793214596e-07,-3.4555501324437707,6.154594593590292,9.610144726034063,6.154594593590292,-3.4555501324437707
04_steer_design,steer,corner,Caster,caster_left,deg,10.000008395011514,9.99932577065108,10.001364864653992,0.002039094002912023,10.001364864653992,9.99932577065108
04_steer_design,steer,corner,Kingpin inclination,kpi_left,deg,10.000008364464218,9.97734301000705,10.044887285319144,0.06754427531209295,10.044887285319144,9.97734301000705
04_steer_design,steer,corner,Toe (positive = toe-in),toe_angle_left,deg,-1.359709103578871e-06,-26.33230635917856,23.66194603687308,49.994252396051635,-26.33230635917856,23.66194603687308
04_steer_design,steer,corner,ISO steer angle,steer_angle_left,deg,1.359709103578871e-06,-23.66194603687308,26.33230635917856,49.994252396051635,26.33230635917856,-23.66194603687308
04_steer_design,steer,corner,Scrub radius (ISO unsigned),scrub_radius_left,mm,49.25635826456054,25.009581540924668,66.75090712635024,41.74132558542557,66.75090712635024,25.009581540924668
04_steer_design,steer,corner,Scrub radius (signed lateral),scrub_radius_signed_left,mm,-1.5819474205464088,-2.1735649740159877,-1.039523861306045,1.1340411127099428,-2.1735649740159877,-1.039523861306045
04_steer_design,steer,corner,Steering-axis offset at ground,steering_axis_offset_ground_left,mm,-1.5819474205464088,-2.1735649740159877,-1.039523861306045,1.1340411127099428,-2.1735649740159877,-1.039523861306045
04_steer_design,steer,corner,Mechanical trail,mechanical_trail_left,mm,49.23094831348842,24.987968284635212,66.71550957232034,41.72754128768513,66.71550957232034,24.987968284635212
04_steer_design,steer,corner,Half track,half_track_left,mm,453.5420006535761,424.2481789564941,463.6023162146115,39.35413725811742,424.2481789564941,463.5645211565631
04_steer_design,steer,corner,Wheel travel,wheel_travel_left,mm,1.626341372684692e-08,-2.4804421627777632e-08,1.5267977460098336e-07,1.77484196228761e-07,-4.870059910899727e-09,3.673164883366553e-09
04_steer_design,steer,corner,Damper length,damper_length_left,mm,242.81129750305004,240.45473246172537,244.16041410485124,3.705681643125871,240.45473246172537,244.16041410485124
04_steer_design,steer,corner,Motion ratio (damper/wheel),motion_ratio_left,mm/mm,0.5094208278935043,0.5079686415405303,0.510439074492018,0.0024704329514876333,0.5079686415405303,0.510439074492018
04_steer_design,steer,corner,Motion ratio squared,motion_ratio_sq_left,-,0.2595095798917033,0.2580321407885318,0.26054804876826787,0.002515907979736054,0.2580321407885318,0.26054804876826787
04_steer_design,steer,corner,"Front-view IC, y",fvic_y_left,mm,-5930.606284195645,-6593.908037681082,-5028.944488433475,1564.9635492476064,-5028.944488433475,-6593.908037681082
04_steer_design,steer,corner,"Front-view IC, z",fvic_z_left,mm,185.00002037894737,44.36264936464224,289.6106949073001,245.24804554265788,44.36264936464224,289.6106949073001
04_steer_design,steer,corner,Front-view swing-arm length,fvsa_length_left,mm,6386.848504583927,5453.368306786063,7063.423533620201,1610.055226834138,5453.368306786063,7063.423533620201
04_steer_design,steer,corner,"Camber, road-relative",camber_road_left,deg,2.9800717972932977e-07,-3.45555013502342,6.1545945939394375,9.610144728962858,6.1545945939394375,-3.45555013502342
04_steer_design,steer,axle,Track,track,mm,907.084,907.084,907.084,0.0,907.084,907.084
04_steer_design,steer,axle,Track change,track_change,mm,3.08598066567356e-06,-19.27087494631178,3.08598066567356e-06,19.270878032292444,-19.27087494631178,-19.270871079801623
04_steer_design,steer,axle,Track change rate,track_change_rate,mm/mm,0.057538860387805,0.0567685617942964,0.1929746254338872,0.13620606363959079,0.1929746254338872,0.1749125197472612
04_steer_design,steer,axle,Roll-centre height,roll_center_z,mm,12.492482494831808,6.413719945245586,12.492482494831808,6.078762549586222,6.413719945245586,6.413722555017281
04_steer_design,steer,axle,Roll-centre lateral position,roll_center_y,mm,-3.032716000461733e-05,-300.74831558576057,300.7482494515798,601.4965650373404,-300.74831558576057,300.7482494515798
04_steer_design,steer,axle,Body roll,roll,deg,2.1457995921298315e-09,-1.8216294486031342e-09,1.4001581987697205e-08,1.5823211436300338e-08,-3.49145312082083e-10,2.5796495348753803e-09
04_steer_design,steer,axle,Heave,heave,mm,-7.223093234642873e-10,-3.393608949409099e-08,9.311472126682929e-08,1.2705081076092029e-07,-2.1319976895028962e-09,-1.6556924720134706e-08
04_steer_design,steer,axle,Ride-height change,ride_height_change,mm,7.223093234642873e-10,-0.8796869364774149,7.223093234642873e-10,0.8796869371997242,-0.8796869364774149,-0.8796867378045222
04_steer_design,steer,axle,Rack displacement,rack_displacement,mm,-4.6483194182656014e-08,-34.999999991074674,34.999999921485795,69.99999991256047,-34.999999991074674,34.999999921485795
04_steer_design,steer,axle,Ackermann error (inner - outer),ackermann_error,deg,8.558400820924666e-07,8.558400820924666e-07,2.67035941013053,2.670358554290448,2.67035941013053,2.6703578206013603
